TIME,2020-S2,2021-S1,2021-S2,2022-S1,2022-S2,2023-S1,2023-S2,2024-S1,2024-S2,2025-S1,
European Union - 27 countries (from 2020),0.0336,0.0366,0.0499,0.0768,0.0979,0.0926,0.0783,0.0725,0.0774,0.0787,
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",0.0336,0.0369,0.0488,0.0751,0.0915,0.0902,0.0763,0.0715,0.0779,0.0788,
Belgium,0.0249,0.0266,0.041,0.0591,0.0683,0.0661,0.0652,0.0565,0.0621,0.0611,
Bulgaria,0.0242,0.0297,0.0609,0.072,0.1297,0.0721,0.0553,0.0502,0.0517,0.0559,
Czechia,0.0305,0.0304,0.0374,0.0823,0.0994,0.0931,0.0843,0.0772,0.0778,0.0719,
Denmark,0.0625,0.0713,0.1278,0.1617,0.2012,0.1128,0.1016,0.0958,0.1126,0.1097,
Germany,0.0349,0.0395,0.0465,0.0647,0.0694,0.0876,0.0805,0.0771,0.0868,0.0869,
Estonia,0.0297,0.038,0.0804,0.1217,0.1609,0.1,0.0681,0.0629,0.0742,0.0777,
Ireland,0.0346,0.0364,0.0613,0.0727,0.0875,0.0815,0.0748,0.0684,0.073,0.076,
Greece,0.0226,0.0267,0.0529,0.0796,0.1381,0.0802,0.0559,0.0448,0.0515,0.0535,
Spain,0.0284,0.0287,0.0408,0.0882,0.1183,0.0704,0.0595,0.0536,0.0614,0.062,
France,0.0409,0.0405,0.059,0.0726,0.0865,0.0976,0.092,0.0822,0.0817,0.0799,
Croatia,0.0338,0.0367,0.0477,0.0655,0.086,0.0683,0.0662,0.0557,0.0548,0.0541,
Italy,0.0291,0.0308,0.0432,0.0767,0.1184,0.0953,0.0651,0.061,0.0622,0.0703,
Latvia,0.0257,0.0281,0.0546,0.086,0.1739,0.1256,0.0767,0.0672,0.064,0.0687,
Lithuania,0.0257,0.0345,0.087,0.1279,0.1462,0.0929,0.0664,0.05,0.0578,0.0659,
Luxembourg,0.0308,0.0347,0.0492,0.0847,0.1225,0.1268,0.0965,0.0803,0.0743,0.073,
Hungary,0.0281,0.0284,0.0586,0.0732,0.1982,0.1367,0.1006,0.0815,0.075,0.071,
Netherlands,0.0347,0.0505,0.0548,0.0932,0.0749,0.1057,0.0786,0.0912,0.0768,0.1015,
Austria,0.0359,0.0375,0.0572,0.0771,0.1011,0.0937,0.0736,0.062,0.0756,0.0834,
Poland,0.0358,0.0346,0.0506,0.0758,0.0963,0.1278,0.1055,0.0897,:,0.0874,
Portugal,0.0298,0.0301,0.0414,0.0852,0.1237,0.0834,0.0737,0.0609,0.0636,0.067,
Romania,0.0291,0.0288,0.052,0.0995,0.1759,0.0702,0.0648,0.057,0.0604,0.0667,
Slovenia,0.0384,0.0378,0.056,0.0829,0.0911,0.0902,0.0825,0.0706,0.0705,0.0778,
Slovakia,0.0383,0.0329,0.0394,0.0713,0.0935,0.1176,0.1153,0.0851,0.0864,0.0811,
Finland,0.0608,0.0744,0.1251,0.1699,0.2251,0.1433,0.1221,0.1057,0.1143,0.1221,
Sweden,0.0674,0.085,0.1281,0.1786,0.2078,0.1496,0.1595,0.124,0.1364,0.1318,
Liechtenstein,0.0567,0.0549,0.0556,0.1069,0.1168,0.1183,0.1839,0.1133,0.1157,:,C
United Kingdom,:,:,:,:,:,:,:,:,:,:,
Bosnia and Herzegovina,0.0438,0.0414,0.0453,0.0534,0.0743,0.0677,0.0605,0.0622,0.0611,0.0619,
Moldova,0.0273,0.0201,0.0361,0.0818,0.1236,0.1501,0.0894,0.0607,0.057,0.0723,
North Macedonia,0.0288,0.0279,0.0365,0.107,0.1565,0.0776,0.0687,0.0567,:,0.066,
Georgia,0.021,0.0203,0.0223,0.0281,0.0383,0.0379,0.0328,0.0347,0.0333,0.0337,
Albania,:,:,0,0,:,:,:,:,:,:,
Serbia,0.0305,0.0313,0.0383,0.0405,0.0451,0.0511,0.0567,0.0568,0.0557,:,
Türkiye,0.0189,0.0184,0.0288,0.062,0.097,0.0613,0.0404,0.0391,0.0364,0.0357,
Ukraine,0.0184,0.0261,:,:,:,:,:,:,:,:,
