Anwendung,Raumwärme,Warmwasser,< 100 °C,100 °C - 500 °C,500 °C - 1000 °C,>1000 °C,Total
Einheit,in kW,in kW,in kW,in kW,in kW,in kW,in kW
Zeit,,,,,,,
2019-01-01 00:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 00:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 00:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 00:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 01:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 01:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 01:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 01:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 02:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 02:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 02:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 02:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 03:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 03:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 03:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 03:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 04:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 04:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 04:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 04:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 05:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 05:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 05:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 05:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 06:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 06:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 06:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 06:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 07:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 07:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 07:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 07:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 08:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 08:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 08:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 08:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 09:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 09:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 09:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 09:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 10:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 10:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 10:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 10:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 11:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 11:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 11:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 11:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 12:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 12:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 12:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 12:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 13:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 13:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 13:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 13:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 14:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 14:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 14:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 14:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 15:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 15:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 15:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 15:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 16:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 16:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 16:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 16:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 17:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 17:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 17:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 17:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 18:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 18:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 18:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 18:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 19:00:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 19:15:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 19:30:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 19:45:00,41445,2209,178461,879496,0,0,1082694
2019-01-01 20:00:00,41445,2209,178903,882146,0,0,1086007
2019-01-01 20:15:00,41847,2209,180228,887889,0,0,1093296
2019-01-01 20:30:00,42250,2209,182216,897828,0,0,1105444
2019-01-01 20:45:00,43054,2209,185308,913068,0,0,1124217
2019-01-01 21:00:00,43859,2209,189725,934934,0,0,1150942
2019-01-01 21:15:00,45469,2430,195689,964309,0,0,1187165
2019-01-01 21:30:00,47078,2430,203419,1002961,0,0,1234872
2019-01-01 21:45:00,49493,2650,213579,1052435,0,0,1295611
2019-01-01 22:00:00,52309,2650,225948,1114057,0,0,1371589
2019-01-01 22:15:00,55931,2871,241409,1189815,0,0,1464795
2019-01-01 22:30:00,60357,3092,259961,1281033,0,0,1576996
2019-01-01 22:45:00,65185,3313,281827,1389259,0,0,1710180
2019-01-01 23:00:00,71221,3755,307669,1516037,0,0,1866333
2019-01-01 23:15:00,77659,3976,335498,1653637,0,0,2035739
2019-01-01 23:30:00,82890,4196,358027,1764734,0,0,2172456
2019-01-01 23:45:00,84499,4417,363990,1794109,0,0,2208678
2019-01-02 00:00:00,84499,4417,363990,1794109,0,0,2208678
2019-01-02 00:15:00,84499,4417,363990,1794109,0,0,2208678
2019-01-02 00:30:00,84499,4417,363990,1794109,0,0,2208678
2019-01-02 00:45:00,84499,4417,363990,1794109,0,0,2208678
2019-01-02 01:00:00,84499,4417,363990,1794109,0,0,2208678
2019-01-02 01:15:00,88523,4638,381439,1880469,0,0,2315137
2019-01-02 01:30:00,92547,4859,398887,1966386,0,0,2420932
2019-01-02 01:45:00,95766,4859,412802,2034193,0,0,2504199
2019-01-02 02:00:00,96973,5080,419207,2066219,0,0,2543735
2019-01-02 02:15:00,96571,4859,416115,2050979,0,0,2524961
2019-01-02 02:30:00,94156,4859,405734,1999958,0,0,2462235
2019-01-02 02:45:00,90937,4638,391820,1930606,0,0,2376980
2019-01-02 03:00:00,87316,4417,377463,1860591,0,0,2290620
2019-01-02 03:15:00,84902,4417,366199,1805374,0,0,2222593
2019-01-02 03:30:00,83292,4196,359794,1772685,0,0,2182395
2019-01-02 03:45:00,83292,4196,358910,1768930,0,0,2177978
2019-01-02 04:00:00,84499,4417,365315,1800073,0,0,2216188
2019-01-02 04:15:00,88121,4417,379672,1871413,0,0,2304093
2019-01-02 04:30:00,93352,4859,403084,1986706,0,0,2445890
2019-01-02 04:45:00,100997,5301,435993,2148381,0,0,2644892
2019-01-02 05:00:00,111056,5743,478841,2359752,0,0,2905075
2019-01-02 05:15:00,123128,6405,532071,2621922,0,0,3227763
2019-01-02 05:30:00,137613,7068,594576,2930254,0,0,3607434
2019-01-02 05:45:00,154111,7951,665254,3278341,0,0,4036139
2019-01-02 06:00:00,172218,8835,742779,3660443,0,0,4506366
2019-01-02 06:15:00,191130,9939,825604,4068827,0,0,5009282
2019-01-02 06:30:00,211248,10823,911522,4492231,0,0,5530531
2019-01-02 06:45:00,230965,11927,997881,4917843,0,0,6054429
2019-01-02 07:00:00,250682,12810,1082032,5333075,0,0,6565738
2019-01-02 07:15:00,269191,13915,1161986,5726440,0,0,7049880
2019-01-02 07:30:00,286091,14798,1235535,6089547,0,0,7496917
2019-01-02 07:45:00,301381,15461,1301795,6415548,0,0,7898455
2019-01-02 08:00:00,314660,16123,1359000,6697375,0,0,8245217
2019-01-02 08:15:00,325524,16786,1406045,6929287,0,0,8530799
2019-01-02 08:30:00,334376,17228,1442930,7111723,0,0,8755422
2019-01-02 08:45:00,340412,17449,1470317,7246453,0,0,8921294
2019-01-02 09:00:00,344838,17669,1488428,7335683,0,0,9031065
2019-01-02 09:15:00,346850,17890,1497926,7382728,0,0,9088932
2019-01-02 09:30:00,347655,17890,1501018,7398189,0,0,9108148
2019-01-02 09:45:00,347655,17890,1500355,7394655,0,0,9103509
2019-01-02 10:00:00,347252,17890,1498147,7384053,0,0,9090699
2019-01-02 10:15:00,346850,17890,1496821,7376986,0,0,9082085
2019-01-02 10:30:00,346850,17890,1496600,7376323,0,0,9081202
2019-01-02 10:45:00,346850,17890,1497926,7382507,0,0,9088711
2019-01-02 11:00:00,347655,17890,1500576,7396201,0,0,9105497
2019-01-02 11:15:00,348459,17890,1504993,7417625,0,0,9132001
2019-01-02 11:30:00,350069,18111,1510515,7444350,0,0,9164911
2019-01-02 11:45:00,351276,18111,1516258,7473505,0,0,9200691
2019-01-02 12:00:00,352483,18111,1522221,7501997,0,0,9235809
2019-01-02 12:15:00,353690,18111,1527301,7526955,0,0,9266510
2019-01-02 12:30:00,354495,18332,1530835,7545066,0,0,9288818
2019-01-02 12:45:00,354897,18332,1532381,7553017,0,0,9298536
2019-01-02 13:00:00,354897,18332,1531277,7547496,0,0,9291689
2019-01-02 13:15:00,353690,18111,1526859,7525409,0,0,9264743
2019-01-02 13:30:00,351678,18111,1518908,7486094,0,0,9216152
2019-01-02 13:45:00,349264,17890,1507202,7428006,0,0,9144812
2019-01-02 14:00:00,345643,17669,1491520,7350702,0,0,9049618
2019-01-02 14:15:00,340814,17449,1471642,7253521,0,0,8929907
2019-01-02 14:30:00,335583,17228,1448010,7136902,0,0,8786343
2019-01-02 14:45:00,329145,17007,1420622,7001731,0,0,8619809
2019-01-02 15:00:00,321902,16565,1389480,6848670,0,0,8431409
2019-01-02 15:15:00,313855,16123,1355245,6679043,0,0,8222689
2019-01-02 15:30:00,305405,15682,1318139,6496386,0,0,7997845
2019-01-02 15:45:00,296150,15240,1279266,6304672,0,0,7761737
2019-01-02 16:00:00,286896,14798,1239289,6107437,0,0,7519004
2019-01-02 16:15:00,277641,14356,1198871,5909098,0,0,7274945
2019-01-02 16:30:00,268386,13915,1159335,5713851,0,0,7034199
2019-01-02 16:45:00,259534,13473,1121125,5525451,0,0,6802288
2019-01-02 17:00:00,251486,13031,1085124,5348315,0,0,6584291
2019-01-02 17:15:00,243841,12589,1052214,5186198,0,0,6384847
2019-01-02 17:30:00,237001,12148,1022839,5041308,0,0,6206607
2019-01-02 17:45:00,230965,11927,997218,4915414,0,0,6051337
2019-01-02 18:00:00,226136,11706,976015,4809839,0,0,5921467
2019-01-02 18:15:00,222113,11485,958787,4725909,0,0,5818100
2019-01-02 18:30:00,219296,11264,945756,4661636,0,0,5739030
2019-01-02 18:45:00,216882,11264,936259,4614813,0,0,5681383
2019-01-02 19:00:00,215272,11043,929854,4583008,0,0,5642290
2019-01-02 19:15:00,214468,11043,925878,4563350,0,0,5617994
2019-01-02 19:30:00,214065,11043,923448,4551644,0,0,5603638
2019-01-02 19:45:00,213663,11043,921902,4543693,0,0,5593699
2019-01-02 20:00:00,213260,11043,920135,4534637,0,0,5582655
2019-01-02 20:15:00,212456,11043,917264,4520281,0,0,5564986
2019-01-02 20:30:00,211248,10823,912405,4496869,0,0,5536052
2019-01-02 20:45:00,209639,10823,905116,4460426,0,0,5491437
2019-01-02 21:00:00,207225,10602,894294,4407638,0,0,5426281
2019-01-02 21:15:00,203603,10381,879496,4334531,0,0,5336167
2019-01-02 21:30:00,199177,10160,859838,4238233,0,0,5217782
2019-01-02 21:45:00,193544,9939,835101,4116314,0,0,5067592
2019-01-02 22:00:00,186301,9497,804622,3965903,0,0,4882504
2019-01-02 22:15:00,177851,9056,767737,3784349,0,0,4658986
2019-01-02 22:30:00,167792,8614,724005,3568782,0,0,4393503
2019-01-02 22:45:00,155720,7951,672984,3316551,0,0,4083184
2019-01-02 23:00:00,142039,7289,613792,3025227,0,0,3724273
2019-01-02 23:15:00,120311,6184,518598,2555883,0,0,3146704
2019-01-02 23:30:00,93352,4859,402863,1985602,0,0,2444565
2019-01-02 23:45:00,84499,4417,363990,1794109,0,0,2208678
2019-01-03 00:00:00,84499,4417,363990,1794109,0,0,2208678
2019-01-03 00:15:00,84499,4417,363990,1794109,0,0,2208678
2019-01-03 00:30:00,84499,4417,363990,1794109,0,0,2208678
2019-01-03 00:45:00,84499,4417,363990,1794109,0,0,2208678
2019-01-03 01:00:00,84499,4417,363990,1794109,0,0,2208678
2019-01-03 01:15:00,88523,4638,381439,1880469,0,0,2315137
2019-01-03 01:30:00,92547,4859,398887,1966386,0,0,2420932
2019-01-03 01:45:00,95766,4859,412802,2034193,0,0,2504199
2019-01-03 02:00:00,96973,5080,419207,2066219,0,0,2543735
2019-01-03 02:15:00,96571,4859,416115,2050979,0,0,2524961
2019-01-03 02:30:00,94156,4859,405734,1999958,0,0,2462235
2019-01-03 02:45:00,90937,4638,391820,1930606,0,0,2376980
2019-01-03 03:00:00,87316,4417,377463,1860591,0,0,2290620
2019-01-03 03:15:00,84902,4417,366199,1805374,0,0,2222593
2019-01-03 03:30:00,83292,4196,359794,1772685,0,0,2182395
2019-01-03 03:45:00,83292,4196,358910,1768930,0,0,2177978
2019-01-03 04:00:00,84499,4417,365315,1800073,0,0,2216188
2019-01-03 04:15:00,88121,4417,379672,1871413,0,0,2304093
2019-01-03 04:30:00,93352,4859,403084,1986706,0,0,2445890
2019-01-03 04:45:00,100997,5301,435993,2148381,0,0,2644892
2019-01-03 05:00:00,111056,5743,478841,2359752,0,0,2905075
2019-01-03 05:15:00,123128,6405,532071,2621922,0,0,3227763
2019-01-03 05:30:00,137613,7068,594576,2930254,0,0,3607434
2019-01-03 05:45:00,154111,7951,665254,3278341,0,0,4036139
2019-01-03 06:00:00,172218,8835,742779,3660443,0,0,4506366
